freq,word,year,type
14828.65,peeps,2020,slang
924.33,compo,2020,slang
0.60,hasbian,2020,slang
172.10,mozzie,2020,slang
42.05,soused,2020,slang
85.90,conniption,2020,slang
51384.05,pedo,2020,slang
589.23,crowdsourcing,2020,slang
0.23,tardnation,2020,slang
96.15,roofie,2020,slang
387.32,mosey,2020,slang
74.12,gorp,2020,slang
2.52,punanni,2020,slang
574.88,shart,2020,slang
39.73,glitterati,2020,slang
346.65,relly,2020,slang
21580.60,dang,2020,slang
11.97,thingamabob,2020,slang
65.17,jalopy,2020,slang
495.98,jabroni,2020,slang
373933.10,meme,2020,slang
5987.88,netizen,2020,slang
16.32,slore,2020,slang
106.70,flutterby,2020,slang
17.98,blumpkin,2020,slang
1598.50,plastered,2020,slang
1.12,baltimoron,2020,slang
123.95,nuker,2020,slang
278.52,dudette,2020,slang
12644.05,fanboy,2020,slang
0.35,zories,2020,slang
2039.65,rapey,2020,slang
3423.75,incel,2020,slang
106.47,preemie,2020,slang
134.53,mcdreamy,2020,slang
677.65,sucky,2020,slang
60.17,sinse,2020,slang
25622.50,wang,2020,slang
0.25,hypermiler,2020,slang
20.80,fidiot,2020,slang
367.85,bonehead,2020,slang
362.23,blankie,2020,slang
4.22,sploof,2020,slang
31.23,bupkis,2020,slang
6799.68,dogg,2020,slang
518.65,workaround,2020,slang
1708.92,fap,2020,slang
44953.47,lemme,2020,slang
0.47,shiznat,2020,slang
728.12,shiesty,2020,slang
1054.70,gayborhood,2020,slang
11.70,spec-ops,2020,slang
236.20,sicc,2020,slang
6085.48,wut,2020,slang
3023.38,sesh,2020,slang
10.10,trisexual,2020,slang
3172.03,motherfucking,2020,slang
1199.75,a-list,2020,slang
12062.42,spec,2020,slang
103.10,carny,2020,slang
12311.45,gangsta,2020,slang
3.65,horribad,2020,slang
32080.42,twit,2020,slang
332.93,zooted,2020,slang
32.23,lame-o,2020,slang
169.30,bible-thumping,2020,slang
618.70,shtick,2020,slang
184.00,whooty,2020,slang
4.65,okee-doke,2020,slang
17325.65,next-level,2020,slang
49.67,duckface,2020,slang
28.25,tweeker,2020,slang
9779.77,blowjob,2020,slang
115522.43,dis,2020,slang
5345.05,crappy,2020,slang
35490.07,spam,2020,slang
91.10,gunt,2020,slang
6658.50,rehab,2020,slang
78.62,pregos,2020,slang
2510.45,bromance,2020,slang
1446.35,dafuq,2020,slang
7.45,yookay,2020,slang
59.75,bumfuck,2020,slang
46.58,gotsta,2020,slang
1.80,whadja,2020,slang
626.65,tenner,2020,slang
801.48,poopy,2020,slang
13.55,roshambo,2020,slang
7.58,prettyful,2020,slang
15.65,jerkwad,2020,slang
74.20,skeevy,2020,slang
2.88,brotox,2020,slang
39.00,linner,2020,slang
17731.80,badass,2020,slang
2047.45,skyrocket,2020,slang
5974.35,snitch,2020,slang
478627.70,bro,2020,slang
191.78,chones,2020,slang
1.23,celebutante,2020,slang
421.27,colitas,2020,slang
33238.85,lowkey,2020,slang
622.83,chillax,2020,slang
5048.05,bling,2020,slang