,word,num_s,num_ns
0,zombie,2,5
2,grub,1,2
3,styling,2,3
4,streak,1,6
5,thirsty,1,4
6,bomb,7,5
7,fire,3,18
8,zounds,1,1
9,freckle,1,2
10,gridlock,0,1
11,crossfade,1,1
12,kosher,3,1
13,money,2,2
14,slack-jawed,1,2
15,ent,1,1
16,crock,1,4
17,skeeter,1,1
18,locks,2,14
19,compy,1,0
20,rad,1,1
21,gag,0,8
22,booty,3,1
23,walkie,1,1
24,tool,3,5
25,jill,1,1
26,ratchet,12,2
27,hell,2,5
28,God,1,4
29,threads,1,10
30,gnarly,3,1
31,bowl,2,10
32,sport,4,9
33,pecker,3,2
34,swap,0,2
35,book,2,12
36,screaming,1,4
37,thick,5,13
38,foxy,2,1
39,sassy,2,1
40,scream,0,0
41,walk,3,16
42,eye,1,5
43,roadkill,0,1
44,dirt,2,4
45,fat,3,9
46,item,2,6
47,plums,1,3
48,grip,3,10
49,move,1,19
50,jock,4,1
51,hanger,1,2
52,brains,2,7
53,peace,2,5
54,mine,1,4
55,pinch,2,11
56,tweaker,2,1
57,fruitcake,1,1
58,whippet,1,1
59,wrecked,2,2
60,kick,7,13
61,sausage,2,2
62,pig,7,5
63,egg,1,5
64,peeper,3,2
65,head,5,39
66,mule,1,2
67,fence,2,5
68,gumby,3,1
69,fluffer,1,1
70,toots,1,3
71,classic,2,4
72,bloody,1,3
73,stat,1,0
74,stew,1,2
75,dim,1,9
76,postal,1,1
77,gig,7,6
78,beef,8,4
79,decompress,0,3
80,bookmark,1,1
81,chicken,3,5
82,squawk,2,4
83,peckish,0,2
84,split,0,18
85,dose,1,4
86,scoot,2,1
87,mad,3,4
88,bastard,3,3
89,bounce,4,9
90,candle,2,3
91,scissor,1,1
92,windy,1,4
93,balling,1,1
94,jammed,3,8
95,sneak,0,8
96,ghost,2,7
97,hitter,1,2
98,smoked,3,3
99,down,10,17