,word,polysemy
0,agenda,2
1,weimaraner,1
2,lawlessness,2
3,chug,1
4,nonskid,1
5,sympathizer,2
6,despoil,2
7,milepost,1
8,vanadium,1
9,competencies,1
10,clinkstone,0
11,mushroom,5
12,jugglers,1
13,doubleheader,1
14,decomposition,5
15,rump,3
16,heaviest,28
17,echo,9
18,unutilized,1
19,scallywag,3
20,peppy,1
21,shield,5
22,rehabilitations,4
23,banzai,1
24,pantsuit,1
25,legalist,1
26,moldovan,1
27,reedbed,1
28,terrifies,1
29,postural,1
30,butane,1
31,alanine,1
32,grisly,1
33,scheme,7
34,jute,2
35,anticlockwise,2
36,underrated,1
37,uria,1
38,trampolining,1
39,bicolour,1
40,awesome,1
41,humblest,4
42,galavant,1
43,sailor,3
44,fiddled,7
45,intimidate,2
46,hemosiderin,1
47,bright,11
48,epilator,1
49,sabertooth,1
50,calorie,2
51,conventionally,1
52,telogen,0
53,extravasated,3
54,deathblow,1
55,repentant,1
56,bedchambers,1
57,superabundance,1
58,admitting,8
59,dysthymic,0
60,scummiest,2
61,strap,8
62,guardian,1
63,shylock,2
64,minmax,0
65,glutton,2
66,squall,4
67,antipathies,2
68,camara,0
69,underpainting,1
70,morphology,4
71,subtended,1
72,avoiders,0
73,outlawing,1
74,timbral,0
75,protocol,3
76,cytometer,1
77,ignites,4
78,didot,1
79,sculptured,4
80,committeeman,1
81,snug,5
82,paleontology,1
83,mistreatment,1
84,greeting,5
85,conniption,1
86,sensuousness,1
87,groans,2
88,unlike,2
89,unmatched,2
90,steeple,1
91,estimated,2
92,contenders,1
93,allotted,4
94,conferral,1
95,enhancements,1
96,rufescent,1
97,copyediting,1
98,adulterous,2
99,upgrade,11